CarID,Marca,Modelo,Año,Clase,Tracción,Potencia_hp,Torque_Nm,Peso_kg,0_100_kmh_s,VelMax_kmh,PP,Precio_CR
GT-CAR-00021,Toyota,GR Yaris,2023,N600,AWD,487.5,569.0,1397,5.5,286,573,246409
GT-CAR-00022,Ferrari,Enzo,1989,N500,RWD,359.6,493.8,1412,7.04,253,503,253108
GT-CAR-00023,Renault,R.S. 01,2000,N500,RR,284.6,335.9,1349,6.33,237,447,177339
GT-CAR-00024,Ferrari,F40,1989,N200,MR,527.8,653.3,1219,4.91,294,674,221097
GT-CAR-00025,Audi,R8,1988,Gr.B,FWD,189.9,223.9,1549,7.4,203,314,70423
GT-CAR-00026,Mitsubishi,3000GT,2014,Gr.B,FWD,220.1,311.0,1524,6.99,212,351,70369
GT-CAR-00027,Lamborghini,Huracan,2013,N700,AWD,428.1,552.9,1422,6.42,285,525,193466
GT-CAR-00028,Chevrolet,Corvette Z06,2018,N200,MR,452.6,383.6,1254,5.64,279,472,311292
GT-CAR-00029,Mercedes-Benz,A45 AMG,1996,Gr.3,RR,418.5,470.1,1223,5.54,273,575,226726
GT-CAR-00030,Aston Martin,DB11,1992,N400,AWD,129.3,177.8,1224,7.57,218,256,131708
GT-CAR-00031,Lamborghini,Diablo,1996,N600,AWD,371.0,374.9,1395,7.28,260,462,148610
GT-CAR-00032,Lamborghini,Aventador,1995,N300,RWD,308.0,317.1,1195,7.87,243,437,498102
GT-CAR-00033,Mercedes-Benz,C63 AMG,1998,N200,AWD,292.2,343.4,1328,6.29,238,433,181020
GT-CAR-00034,Honda,Civic Type R,2001,N100,FWD,307.3,373.5,1362,7.23,243,373,89922
GT-CAR-00035,Mercedes-Benz,AMG GT,2015,N700,RWD,374.5,452.4,1594,6.67,275,432,181538
GT-CAR-00036,Subaru,Legacy B4,2001,N600,RWD,316.8,302.8,1562,7.35,255,411,185773
GT-CAR-00037,Ferrari,458 Italia,2023,N400,MR,277.7,275.3,1478,6.95,226,360,203864
GT-CAR-00038,BMW,M3,2023,Gr.4,RWD,320.3,326.9,1450,7.01,254,393,136275
GT-CAR-00039,Chevrolet,Camaro ZL1,1987,Gr.4,FWD,244.0,319.5,1309,7.73,234,428,131934
GT-CAR-00040,Aston Martin,Vantage,2020,N100,RWD,290.7,288.3,1475,7.13,268,448,156267
GT-CAR-00041,BMW,M4,1991,N300,RR,411.7,627.7,1338,6.44,272,467,379617
GT-CAR-00042,Mercedes-Benz,A45 AMG,2022,N300,MR,177.4,184.2,1610,7.12,209,282,106814
GT-CAR-00043,Mercedes-Benz,AMG GT,2023,N700,FWD,328.8,344.2,1540,7.12,263,444,172986
GT-CAR-00044,Ford,Shelby GT350,2010,N200,RR,334.8,418.0,1605,6.56,271,373,221238
GT-CAR-00045,Ferrari,458 Italia,2010,N300,RWD,287.9,299.4,1229,6.59,231,441,205072
GT-CAR-00046,Ford,Focus RS,2001,N400,RWD,358.2,419.5,1524,5.31,256,464,143913
GT-CAR-00047,Toyota,MR2,2009,Gr.3,RR,587.1,495.9,1579,5.21,326,642,467921
GT-CAR-00048,Bugatti,Chiron,2021,Gr.3,RWD,291.2,370.4,1485,5.76,228,413,361080
GT-CAR-00049,Ferrari,F40,2023,N500,FWD,276.8,354.3,1061,7.78,266,458,246725
GT-CAR-00050,Ferrari,Enzo,1987,Gr.4,RR,559.5,882.9,1014,5.28,311,673,189970
GT-CAR-00051,Mazda,Mazda6 MPS,1997,N300,RR,355.1,414.4,1330,7.33,252,528,340860
GT-CAR-00052,McLaren,MP4-12C,2020,Gr.B,FWD,253.5,331.2,1263,7.7,232,388,175544
GT-CAR-00053,Toyota,Supra,1996,N100,RR,432.2,517.6,1686,5.0,264,477,178704
GT-CAR-00054,BMW,M5,2015,N300,RWD,195.2,236.7,1307,8.2,217,301,138880
GT-CAR-00055,Mazda,RX-8,1987,Gr.3,FWD,271.2,367.8,1231,6.47,265,487,175186
GT-CAR-00056,Lamborghini,Huracan,1985,Gr.3,AWD,223.5,307.8,1281,7.16,238,379,91894
GT-CAR-00057,Citroën,DS3 Racing,2006,Gr.B,RR,481.1,549.6,1298,6.23,284,575,262087
GT-CAR-00058,Audi,R8,2015,Gr.4,RR,338.8,386.1,1621,6.96,247,433,216229
GT-CAR-00059,Porsche,Cayman GT4,1990,Gr.B,RWD,337.6,444.7,1362,6.91,250,405,151154
GT-CAR-00060,Lamborghini,Huracan,2020,Gr.B,AWD,225.7,263.0,1170,7.31,255,351,134263
GT-CAR-00061,Bugatti,Veyron,2020,N600,RWD,514.4,643.3,1196,6.09,291,645,495611
GT-CAR-00062,Pagani,Zonda,2009,Gr.B,AWD,356.8,414.1,1690,5.96,247,422,289297
GT-CAR-00063,Aston Martin,Vanquish,1999,Gr.4,RWD,286.0,338.5,1438,6.49,250,391,103079
GT-CAR-00064,Ford,Shelby GT350,2011,Gr.4,RWD,341.3,483.5,1607,6.46,269,379,159672
GT-CAR-00065,Mercedes-Benz,A45 AMG,2011,N300,RR,367.0,392.7,1604,7.38,262,444,476705
GT-CAR-00066,Chevrolet,Camaro ZL1,2009,Gr.B,RWD,485.9,635.5,1725,6.02,286,520,156643
GT-CAR-00067,Nissan,March,2008,Gr.B,FWD,213.1,209.7,1444,7.41,229,279,113479
GT-CAR-00068,Chevrolet,Corvette Z06,1994,Gr.4,FWD,167.9,179.5,1298,6.83,211,319,111123
GT-CAR-00069,Lamborghini,Aventador,2003,Gr.B,FWD,309.8,428.2,1462,6.63,260,363,290205
GT-CAR-00070,Ford,GT,1998,N400,RR,205.8,283.2,1539,7.89,236,304,116191
GT-CAR-00071,Citroën,C4 VTS,1985,N300,RWD,283.3,263.5,1454,6.39,245,428,128813
GT-CAR-00072,Mitsubishi,3000GT,1992,N700,FWD,232.3,222.2,1277,7.2,218,305,148409
GT-CAR-00073,Aston Martin,Vantage,2015,N200,MR,383.3,487.6,1634,6.8,255,428,251364
GT-CAR-00074,McLaren,720S,1998,N600,RWD,506.4,701.5,1278,6.81,299,559,163898
GT-CAR-00075,Mazda,Mazda6 MPS,2013,N700,RWD,360.9,432.0,1290,6.56,286,461,152011
GT-CAR-00076,Alfa Romeo,Giulia QV,2009,Gr.4,AWD,297.5,312.7,1467,7.21,259,390,264139
GT-CAR-00077,Mazda,RX-7,1988,Gr.4,AWD,460.0,541.7,1497,5.2,277,520,260067
GT-CAR-00078,Mitsubishi,FTO,2010,N500,AWD,379.0,457.5,1557,5.1,269,512,172772
GT-CAR-00079,Pagani,Huayra,2002,N400,MR,238.2,296.4,1476,7.7,225,349,240159
GT-CAR-00080,Ferrari,F40,2002,N400,AWD,378.6,420.4,1512,6.69,274,466,364729
GT-CAR-00081,Audi,TT RS,1997,N100,RR,587.1,724.4,1294,5.15,320,695,334234
GT-CAR-00082,Citroën,DS3 Racing,1998,Gr.4,RR,278.8,317.0,1565,7.78,239,372,121629
GT-CAR-00083,Pagani,Huayra,2010,N100,RWD,308.2,330.4,1373,7.78,241,412,505598
GT-CAR-00084,BMW,1M Coupe,2007,Gr.B,FWD,217.9,300.8,1598,6.95,228,227,127561
GT-CAR-00085,Lamborghini,Gallardo,2019,N300,AWD,468.2,486.6,1192,5.7,307,587,155159
GT-CAR-00086,Chevrolet,Corvette,2016,Gr.B,FWD,221.4,233.8,1369,7.99,224,308,145098
GT-CAR-00087,Aston Martin,DB11,2008,Gr.B,AWD,219.4,184.3,1383,7.12,211,363,96364
GT-CAR-00088,Citroën,DS3 Racing,1992,N700,AWD,284.9,363.6,1622,7.33,240,355,131678
GT-CAR-00089,Porsche,959,1989,N400,FWD,350.1,418.0,1387,7.11,243,397,150536
GT-CAR-00090,Nissan,Silvia,1988,N200,AWD,362.1,473.3,1651,7.02,259,466,129139
GT-CAR-00091,Citroën,C4 VTS,2010,N700,MR,296.3,360.5,1261,6.02,252,449,145434
GT-CAR-00092,Peugeot,208 GTi,2003,N200,RR,295.7,437.8,1647,6.69,243,339,116851
GT-CAR-00093,Aston Martin,Vanquish,1996,N100,RR,528.7,678.3,1638,5.49,310,645,370575
GT-CAR-00094,Peugeot,206 RC,1988,N100,MR,592.5,944.5,1370,4.93,326,641,227684
GT-CAR-00095,Aston Martin,Vanquish,1997,N700,RWD,276.5,353.0,1270,6.79,224,394,325773
GT-CAR-00096,Alfa Romeo,4C,2001,N400,MR,444.0,585.7,1600,6.34,275,509,294133
GT-CAR-00097,Peugeot,508 PSE,2016,N300,RWD,305.8,345.5,1246,6.27,240,430,195824
GT-CAR-00098,Toyota,Chaser,1991,N600,FWD,197.0,276.3,1282,6.39,221,365,203304
GT-CAR-00099,Porsche,911 Turbo,2023,N300,FWD,297.5,352.6,1299,8.21,251,495,119444
GT-CAR-00100,Alfa Romeo,Giulia QV,2018,N400,FWD,208.8,262.7,1362,6.88,234,345,120997
GT-CAR-00101,Nissan,370Z,2000,N100,MR,391.1,494.4,1511,6.08,266,463,143354
GT-CAR-00102,Honda,Prelude,2017,N500,RWD,164.5,192.2,1427,7.57,199,289,45795
GT-CAR-00103,Audi,TT RS,2013,N200,AWD,491.7,396.0,1642,5.64,304,562,168983
GT-CAR-00104,Chevrolet,Corvette,2022,N600,FWD,278.3,370.8,1236,7.57,233,443,138108
GT-CAR-00105,Mercedes-Benz,E63 AMG,2003,N400,RWD,105.6,120.0,1424,7.82,202,229,165331
GT-CAR-00106,Alfa Romeo,Giulia QV,1992,N600,AWD,372.0,477.4,1198,7.06,256,471,112509
GT-CAR-00107,Porsche,Cayman GT4,2000,Gr.4,AWD,427.1,554.3,1342,6.1,272,570,243896
GT-CAR-00108,Chevrolet,Corvette,2018,N400,RWD,306.5,348.5,1494,7.21,259,417,111706
GT-CAR-00109,Alfa Romeo,147 GTA,2007,N500,RWD,297.7,315.7,1533,6.13,236,357,137333
GT-CAR-00110,Alfa Romeo,Giulia QV,1988,N400,RR,344.7,467.8,1223,7.38,271,498,198517
GT-CAR-00111,Mitsubishi,FTO,1998,Gr.3,MR,495.4,623.6,1739,4.72,303,533,267181
GT-CAR-00112,Audi,RS6,2012,N700,AWD,511.4,588.0,1501,5.48,293,591,259980
GT-CAR-00113,Ford,Focus RS,2018,N300,MR,355.0,443.2,1395,6.89,266,461,205795
GT-CAR-00114,Lamborghini,Diablo,1999,Gr.4,RWD,244.7,265.2,1314,6.73,236,389,107734
GT-CAR-00115,Honda,S2000,1993,Gr.B,FWD,201.7,191.1,1356,7.14,229,317,76036
GT-CAR-00116,Honda,Prelude,2002,N600,MR,408.3,483.8,1266,5.21,243,536,265389
GT-CAR-00117,Audi,RS6,2004,N500,RWD,371.5,386.1,1157,5.82,263,550,245091
GT-CAR-00118,Lamborghini,Diablo,2010,Gr.B,AWD,633.7,762.7,1519,4.18,310,761,241511
GT-CAR-00119,Bugatti,Veyron,1999,Gr.4,FWD,238.3,329.8,1492,7.53,224,343,215524
GT-CAR-00120,Mazda,RX-8,2018,Gr.3,FWD,282.5,305.3,1328,7.11,235,396,88607
GT-CAR-00121,Ford,Mustang GT,1991,N700,MR,435.5,520.6,1496,6.11,287,473,156099
GT-CAR-00122,Toyota,MR2,2021,Gr.3,RWD,318.0,402.0,1286,6.39,261,413,133934
GT-CAR-00123,Aston Martin,DB11,2007,Gr.3,FWD,303.1,323.0,1171,8.21,237,411,154479
GT-CAR-00124,Honda,S2000,1992,Gr.B,FWD,303.3,441.1,1768,7.1,248,337,169161
GT-CAR-00125,Lamborghini,Gallardo,2022,N500,FWD,257.2,320.4,1385,6.78,222,416,290125
GT-CAR-00126,Mitsubishi,Lancer Evo,1988,N600,RWD,303.2,370.7,1587,7.0,255,405,78446
GT-CAR-00127,Porsche,Cayman GT4,2023,N200,RR,501.5,443.9,1418,5.13,294,539,308032
GT-CAR-00128,Bugatti,Veyron,1995,N200,FWD,350.6,397.1,1326,6.63,248,478,260500
GT-CAR-00129,Chevrolet,Camaro ZL1,2023,N300,RR,565.1,692.0,1428,5.93,314,609,304960
GT-CAR-00130,Lamborghini,Huracan,2022,N600,MR,350.7,365.4,1586,6.27,258,401,303783
GT-CAR-00131,Ford,Mustang GT,1990,N600,AWD,327.8,377.3,1499,6.45,241,434,112425
GT-CAR-00132,Ferrari,488 GTB,2023,N200,AWD,504.1,610.1,1290,4.89,268,648,303711
GT-CAR-00133,Citroën,DS3 Racing,2013,N500,MR,313.5,420.0,1411,6.94,232,412,147461
GT-CAR-00134,Ford,Shelby GT350,1991,Gr.3,RWD,295.6,311.2,1541,6.69,238,390,175834
GT-CAR-00135,Mercedes-Benz,A45 AMG,2019,Gr.3,RWD,342.2,392.5,1558,6.99,253,463,247644
GT-CAR-00136,Nissan,370Z,2008,Gr.4,RR,239.7,322.2,1409,7.7,220,351,125830
GT-CAR-00137,Citroën,C4 VTS,1987,N600,AWD,342.6,431.4,1460,6.43,255,458,235272
GT-CAR-00138,Nissan,Skyline GT-R,2024,N500,RWD,456.8,583.5,1331,4.93,289,556,286883
GT-CAR-00139,Honda,Civic Type R,2007,N400,AWD,476.8,661.0,1300,4.8,303,578,332894
GT-CAR-00140,Subaru,Legacy B4,1991,N300,MR,430.0,507.0,1778,6.65,282,461,257717
GT-CAR-00141,Mitsubishi,Lancer Evo,2007,N600,MR,387.6,489.1,1279,6.44,261,457,233497
GT-CAR-00142,Mazda,RX-7,2007,N400,RWD,372.4,431.0,1382,6.59,271,466,182869
GT-CAR-00143,Nissan,Silvia,2007,N600,FWD,276.8,313.4,1603,6.95,233,345,74918
GT-CAR-00144,Citroën,DS3 Racing,2017,N100,MR,214.8,195.9,1307,7.28,205,375,158329
GT-CAR-00145,Mazda,RX-8,2006,Gr.4,FWD,281.9,433.7,1556,6.87,222,392,140046
GT-CAR-00146,Renault,R.S. 01,1992,N100,RWD,227.5,288.6,1354,6.84,219,334,112939
GT-CAR-00147,Pagani,Huayra,1989,N500,FWD,238.5,372.2,1319,7.79,258,335,208844
GT-CAR-00148,Bugatti,Veyron,2003,N500,MR,397.8,525.1,1201,6.53,264,479,563895
GT-CAR-00149,Mazda,Mazda6 MPS,2017,N100,MR,491.6,552.2,1211,6.0,290,625,250018
GT-CAR-00150,Audi,TT RS,2008,N500,FWD,248.6,346.6,1307,6.75,250,391,61891
GT-CAR-00151,McLaren,650S,2006,Gr.B,AWD,374.0,541.5,1455,6.97,269,482,253714
GT-CAR-00152,Bugatti,Chiron,1993,N200,RR,147.9,179.0,1408,7.42,218,290,377281
GT-CAR-00153,Pagani,Zonda,1991,Gr.4,RWD,359.7,350.0,1294,6.27,266,405,466996
GT-CAR-00154,Ferrari,458 Italia,1989,N300,RR,389.3,503.7,1434,5.3,260,494,407567
GT-CAR-00155,Porsche,959,2016,N600,RR,561.8,794.6,1352,4.62,327,667,397485
GT-CAR-00156,Mazda,RX-8,2019,Gr.3,AWD,397.0,508.9,1111,5.8,264,501,165460
GT-CAR-00157,Renault,Clio V6,2013,Gr.4,MR,150.3,177.0,1306,7.9,195,305,74621
GT-CAR-00158,Mercedes-Benz,C63 AMG,2010,Gr.B,AWD,333.5,470.4,1420,6.02,276,406,243285
GT-CAR-00159,Mazda,Mazda6 MPS,2022,Gr.4,RR,538.9,615.4,1384,6.21,304,635,364948
GT-CAR-00160,Aston Martin,Vanquish,1998,N100,AWD,290.4,403.6,1405,6.46,250,398,121572
GT-CAR-00161,Lamborghini,Gallardo,2011,Gr.3,FWD,90.0,120.0,1466,8.8,200,193,180968
GT-CAR-00162,Chevrolet,Corvette C7,1985,Gr.B,RR,342.0,412.2,1351,7.17,263,460,191554
GT-CAR-00163,Mitsubishi,FTO,2015,N300,RWD,360.0,458.5,1551,6.19,249,458,158090
GT-CAR-00164,Bugatti,Veyron,2011,N700,RR,507.4,519.6,1620,5.9,295,518,335922
GT-CAR-00165,Porsche,Cayman GT4,2007,Gr.B,RWD,362.9,521.0,1626,5.56,234,443,183491
GT-CAR-00166,Mitsubishi,FTO,2023,N300,AWD,409.6,484.6,1408,6.08,268,499,207743
GT-CAR-00167,Honda,NSX,2005,Gr.B,MR,549.9,638.2,1348,5.93,323,607,271491
GT-CAR-00168,Mercedes-Benz,E63 AMG,1995,Gr.4,MR,502.4,538.7,1560,6.03,297,503,114829
GT-CAR-00169,BMW,Z4 M,1999,N500,FWD,167.6,234.2,1180,8.2,213,330,170510
GT-CAR-00170,Alfa Romeo,147 GTA,1994,N700,RR,391.8,575.1,1292,7.7,272,528,118730
GT-CAR-00171,Toyota,MR2,2007,Gr.3,RR,589.3,672.7,1529,6.13,316,660,226748
GT-CAR-00172,Ferrari,488 GTB,2003,Gr.3,AWD,321.5,442.9,1359,6.55,246,431,265540
GT-CAR-00173,Porsche,911 Turbo,1987,Gr.B,MR,482.2,704.8,1437,5.83,293,525,442615
GT-CAR-00174,Lamborghini,Aventador,2022,N200,MR,609.7,663.8,1417,5.61,313,725,209206
GT-CAR-00175,Nissan,370Z,1990,Gr.4,RR,333.1,353.7,1126,6.35,260,488,115484
GT-CAR-00176,Nissan,Silvia,2000,Gr.B,RR,539.7,720.0,1265,5.75,303,650,369381
GT-CAR-00177,Ferrari,F40,1991,N100,MR,489.2,618.9,1711,5.79,288,515,302548
GT-CAR-00178,Mitsubishi,Lancer Evo,2012,N100,RWD,164.1,177.0,1291,7.28,203,256,88134
GT-CAR-00179,Pagani,Huayra,2005,N200,AWD,432.1,594.2,1309,5.37,249,533,189795
GT-CAR-00180,Pagani,Huayra,1985,N400,AWD,301.9,359.2,1400,7.66,252,401,255467
GT-CAR-00181,Pagani,Huayra,1991,N400,MR,320.6,389.1,1521,7.37,239,412,403353
GT-CAR-00182,BMW,M3,2007,N600,FWD,186.0,212.5,1275,6.97,210,268,209266
GT-CAR-00183,Renault,Clio V6,2009,Gr.3,AWD,449.7,558.0,1528,5.99,292,511,149568
GT-CAR-00184,Peugeot,208 GTi,2014,N600,MR,340.2,349.9,1171,5.85,256,519,209675
GT-CAR-00185,Peugeot,208 GTi,2008,Gr.4,MR,386.0,537.4,1397,6.07,268,513,100629
GT-CAR-00186,BMW,1M Coupe,2010,N100,MR,193.1,222.7,1368,7.93,235,354,144401
GT-CAR-00187,Mercedes-Benz,A45 AMG,1989,N400,RR,526.4,746.8,1675,5.5,309,616,319801
GT-CAR-00188,Toyota,Supra,1985,N600,FWD,199.6,244.7,1636,6.99,226,265,188556
GT-CAR-00189,BMW,M3,2020,Gr.4,AWD,437.9,553.6,1379,6.4,281,531,210066
GT-CAR-00190,McLaren,720S,2005,N700,RWD,367.5,329.0,1498,5.85,265,434,271629
GT-CAR-00191,Subaru,Legacy B4,1997,N600,AWD,358.5,403.3,1317,6.7,266,459,210248
GT-CAR-00192,Mercedes-Benz,E63 AMG,2018,N700,RWD,270.9,340.5,1403,7.09,261,355,66408
GT-CAR-00193,Aston Martin,Vanquish,2019,N700,FWD,169.9,203.3,1502,8.6,238,267,191772
GT-CAR-00194,Mercedes-Benz,E63 AMG,2012,Gr.3,MR,465.6,454.2,1203,5.42,254,627,326215
GT-CAR-00195,Mercedes-Benz,E63 AMG,2005,N700,AWD,282.8,288.3,1450,7.89,259,413,101071
GT-CAR-00196,Subaru,Levorg,2015,N200,MR,351.1,399.3,1480,6.69,255,430,176288
GT-CAR-00197,Porsche,911 GT3,2015,Gr.3,FWD,249.4,364.3,1356,6.41,245,400,142362
GT-CAR-00198,Mazda,Mazda6 MPS,2004,Gr.B,FWD,215.2,290.4,1299,8.66,239,349,100561
GT-CAR-00199,Pagani,Huayra,2015,Gr.B,RWD,304.0,416.7,1196,6.8,239,414,183478
GT-CAR-00200,Peugeot,206 RC,2017,N200,AWD,301.7,315.2,1599,6.3,212,401,164946
GT-CAR-00201,Subaru,Impreza WRX,2007,Gr.4,RR,262.9,360.6,1161,6.91,245,404,111453
GT-CAR-00202,Mitsubishi,Lancer Evo,2018,N400,FWD,277.6,393.4,1454,6.63,244,356,446767
GT-CAR-00203,Toyota,Celica,1994,N600,RR,473.7,551.0,1530,6.36,290,554,181377
GT-CAR-00204,Aston Martin,DB11,1985,N400,RWD,160.9,191.4,1442,7.42,211,293,92781
GT-CAR-00205,Mitsubishi,3000GT,2009,N700,RR,449.6,531.0,1552,5.07,298,550,164151
GT-CAR-00206,Ford,Focus RS,1996,N400,RWD,363.6,441.6,1388,5.76,258,486,215323
GT-CAR-00207,Alfa Romeo,4C,2009,N500,FWD,321.7,453.6,1679,6.49,231,336,164179
GT-CAR-00208,Mitsubishi,FTO,1991,Gr.B,RR,304.3,358.2,1488,6.59,254,404,202921
GT-CAR-00209,Pagani,Zonda,2019,N400,RWD,498.4,602.0,1333,5.48,316,644,363828
GT-CAR-00210,Honda,NSX,2002,N100,RWD,389.8,424.0,1520,6.09,259,482,261814
GT-CAR-00211,Mercedes-Benz,A45 AMG,1997,N700,RWD,416.3,441.4,1447,5.0,271,472,213304
GT-CAR-00212,Ford,Focus RS,2006,N100,FWD,163.7,251.4,1506,8.33,218,365,70546
GT-CAR-00213,Chevrolet,Corvette,2024,N500,AWD,356.3,447.9,1413,6.03,253,458,166449
GT-CAR-00214,Ferrari,Enzo,2007,N700,MR,422.5,438.5,1362,6.33,270,515,173686
GT-CAR-00215,Toyota,Chaser,2011,N500,MR,383.0,394.7,1299,5.39,275,480,124542
GT-CAR-00216,Peugeot,208 GTi,2010,Gr.3,RWD,419.3,495.8,1249,6.27,287,541,163534
GT-CAR-00217,BMW,1M Coupe,2012,N500,AWD,242.8,244.9,1376,7.28,241,333,225393
GT-CAR-00218,Nissan,370Z,1998,Gr.3,AWD,405.3,557.5,1645,6.92,261,475,197374
GT-CAR-00219,Chevrolet,Corvette Z06,2006,N100,AWD,381.9,386.4,1525,6.09,250,511,114308
GT-CAR-00220,BMW,M4,1990,N200,MR,508.7,638.7,1345,5.49,278,599,187734
GT-CAR-00221,Renault,Megane RS,1990,N500,MR,616.5,725.2,1448,4.64,316,706,190903
GT-CAR-00222,Ferrari,458 Italia,1996,N300,AWD,296.4,373.6,1314,7.5,268,417,303529
GT-CAR-00223,Pagani,Zonda,2015,Gr.3,RR,499.5,680.5,1267,5.47,293,593,373046
GT-CAR-00224,Ferrari,F40,2006,N500,AWD,338.0,429.7,1455,6.86,256,405,121028
GT-CAR-00225,Porsche,911 Turbo,2003,N500,MR,430.8,417.3,1319,6.03,271,511,185235
GT-CAR-00226,Ford,Mustang GT,1988,N100,RWD,308.3,372.7,1367,8.06,245,432,245390
GT-CAR-00227,Peugeot,208 GTi,1997,N100,RR,276.2,394.5,1594,7.41,214,413,150162
GT-CAR-00228,Honda,S2000,2024,Gr.3,FWD,164.8,213.5,1658,8.33,211,264,91285
GT-CAR-00229,McLaren,720S,2020,N100,RWD,430.5,500.9,1317,5.87,267,600,259861
GT-CAR-00230,Mitsubishi,3000GT,2003,N600,RWD,359.3,407.6,1531,7.56,249,460,115111
GT-CAR-00231,Ford,Shelby GT350,1986,Gr.3,AWD,151.3,180.7,1610,8.05,211,259,104342
GT-CAR-00232,BMW,1M Coupe,2024,Gr.4,AWD,426.5,482.4,1485,5.74,296,483,262488
GT-CAR-00233,Nissan,Silvia,2002,N600,RWD,321.5,319.2,1398,6.56,251,427,105754
GT-CAR-00234,Alfa Romeo,4C,2007,N100,RR,101.4,126.1,1433,7.95,200,192,72828
GT-CAR-00235,Lamborghini,Huracan,2016,N400,RWD,351.0,407.7,1416,5.49,266,460,203115
GT-CAR-00236,McLaren,650S,2013,N700,FWD,251.1,243.0,1211,8.55,242,413,134896
GT-CAR-00237,Peugeot,508 PSE,1987,N200,MR,389.4,414.8,1510,6.64,240,460,238073
GT-CAR-00238,Renault,Megane RS,1995,Gr.4,AWD,214.0,287.8,1670,6.95,238,343,116456
GT-CAR-00239,Chevrolet,Corvette Z06,1993,N700,RWD,306.9,409.2,1163,6.39,251,429,360960
GT-CAR-00240,Alfa Romeo,147 GTA,2020,N300,RR,238.7,233.7,1507,7.63,226,315,90227
GT-CAR-00241,Citroën,C4 VTS,1992,N300,MR,400.8,525.9,1302,6.84,260,541,252205
GT-CAR-00242,Lamborghini,Diablo,1990,Gr.3,AWD,331.0,369.4,1467,6.98,249,435,182112
GT-CAR-00243,Porsche,959,1993,Gr.3,FWD,318.2,395.8,1502,7.14,244,376,159954
GT-CAR-00244,Audi,RS6,2005,N100,AWD,545.0,489.5,1349,4.46,311,617,215182
GT-CAR-00245,Mitsubishi,Lancer Evo,2005,Gr.B,AWD,450.7,526.3,1379,6.84,290,499,156137
GT-CAR-00246,McLaren,650S,2004,N700,MR,212.3,261.0,1517,7.35,243,284,167925
GT-CAR-00247,Mazda,Mazda3 MPS,2019,Gr.3,RWD,310.6,313.9,1358,7.17,241,522,146669
GT-CAR-00248,Ford,Shelby GT350,1998,Gr.B,RR,388.7,332.3,1116,6.04,259,567,141177
GT-CAR-00249,Mazda,Mazda3 MPS,2023,Gr.B,AWD,372.6,464.6,1181,6.53,259,484,160566
GT-CAR-00250,Mitsubishi,3000GT,1988,N200,FWD,133.3,155.9,1326,7.57,227,244,67613
GT-CAR-00251,Citroën,C4 VTS,2006,N200,RWD,421.9,541.6,1450,5.97,273,503,232131
GT-CAR-00252,Peugeot,208 GTi,1994,N400,AWD,303.9,360.1,1402,7.04,250,439,130366
GT-CAR-00253,Nissan,370Z,2004,Gr.3,FWD,208.4,257.5,1445,6.42,219,362,80966
GT-CAR-00254,Mercedes-Benz,AMG GT,2024,Gr.B,MR,453.2,444.2,1455,5.91,286,476,251925
GT-CAR-00255,Ford,Focus RS,2000,N400,RWD,261.9,288.7,1336,7.85,240,413,114854
