CarID	Juego	Plataforma	DebutAprox	País_Marca	Es_DLC
GT-CAR-00013	Gran Turismo 5	PS2	1999	FR	False
GT-CAR-00013	Gran Turismo 7	PS4/PS5	2000	FR	False
GT-CAR-00014	Gran Turismo 1	PS1	1997	US	True
GT-CAR-00014	Gran Turismo 4	PS2	1997	US	False
GT-CAR-00014	Gran Turismo 7	PS4/PS5	1997	US	False
GT-CAR-00015	Gran Turismo 1	PS1	2008	JP	False
GT-CAR-00015	Gran Turismo 2	PS1	2010	JP	False
GT-CAR-00015	Gran Turismo 7	PS4/PS5	2011	JP	False
GT-CAR-00016	Gran Turismo 1	PS1	1997	FR	True
GT-CAR-00016	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00016	Gran Turismo 5	PS2	1997	FR	True
GT-CAR-00016	Gran Turismo 6	PS3	1997	FR	False
GT-CAR-00017	Gran Turismo 1	PS1	2007	JP	True
GT-CAR-00017	Gran Turismo 7	PS4/PS5	2003	JP	False
GT-CAR-00018	Gran Turismo 1	PS1	2022	UK	False
GT-CAR-00018	Gran Turismo 4	PS2	2024	UK	False
GT-CAR-00018	Gran Turismo 5	PS2	2023	UK	False
GT-CAR-00019	Gran Turismo 1	PS1	2022	JP	False
GT-CAR-00019	Gran Turismo 5	PS2	2024	JP	False
GT-CAR-00019	Gran Turismo 6	PS3	2025	JP	True
GT-CAR-00019	Gran Turismo 7	PS4/PS5	2024	JP	False
GT-CAR-00020	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00020	Gran Turismo 7	PS4/PS5	1997	FR	False
GT-CAR-00021	Gran Turismo 6	PS3	2022	JP	True
GT-CAR-00022	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00023	Gran Turismo 7	PS4/PS5	2000	FR	False
GT-CAR-00024	Gran Turismo 4	PS2	1997	IT	False
GT-CAR-00024	Gran Turismo 5	PS2	1997	IT	False
GT-CAR-00024	Gran Turismo 7	PS4/PS5	1997	IT	True
GT-CAR-00025	Gran Turismo 1	PS1	1997	DE	False
GT-CAR-00025	Gran Turismo 4	PS2	1997	DE	True
GT-CAR-00025	Gran Turismo 7	PS4/PS5	1997	DE	False
GT-CAR-00026	Gran Turismo 5	PS2	2016	JP	True
GT-CAR-00027	Gran Turismo 4	PS2	2013	IT	False
GT-CAR-00027	Gran Turismo 5	PS2	2015	IT	False
GT-CAR-00027	Gran Turismo 7	PS4/PS5	2011	IT	True
GT-CAR-00028	Gran Turismo 5	PS2	2019	US	False
GT-CAR-00029	Gran Turismo 2	PS1	1997	DE	False
GT-CAR-00030	Gran Turismo 2	PS1	1997	UK	True
GT-CAR-00031	Gran Turismo 2	PS1	1998	IT	False
GT-CAR-00031	Gran Turismo 3	PS2	1997	IT	False
GT-CAR-00032	Gran Turismo 4	PS2	1997	IT	False
GT-CAR-00033	Gran Turismo 1	PS1	1999	DE	True
GT-CAR-00033	Gran Turismo 2	PS1	1997	DE	False
GT-CAR-00033	Gran Turismo 4	PS2	2000	DE	False
GT-CAR-00033	Gran Turismo 6	PS3	1997	DE	False
GT-CAR-00034	Gran Turismo 1	PS1	1999	JP	False
GT-CAR-00034	Gran Turismo 3	PS2	2003	JP	False
GT-CAR-00034	Gran Turismo 6	PS3	1999	JP	False
GT-CAR-00034	Gran Turismo 7	PS4/PS5	2003	JP	False
GT-CAR-00035	Gran Turismo 4	PS2	2017	DE	False
GT-CAR-00035	Gran Turismo 5	PS2	2014	DE	False
GT-CAR-00036	Gran Turismo 1	PS1	2001	JP	False
GT-CAR-00036	Gran Turismo 4	PS2	2001	JP	False
GT-CAR-00036	Gran Turismo 5	PS2	2001	JP	True
GT-CAR-00037	Gran Turismo 1	PS1	2024	IT	False
GT-CAR-00037	Gran Turismo 3	PS2	2025	IT	False
GT-CAR-00037	Gran Turismo 4	PS2	2021	IT	True
GT-CAR-00037	Gran Turismo 5	PS2	2023	IT	False
GT-CAR-00038	Gran Turismo 4	PS2	2021	DE	False
GT-CAR-00039	Gran Turismo 1	PS1	1997	US	False
GT-CAR-00039	Gran Turismo 5	PS2	1997	US	True
GT-CAR-00040	Gran Turismo 5	PS2	2022	UK	False
GT-CAR-00041	Gran Turismo 1	PS1	1997	DE	False
GT-CAR-00041	Gran Turismo 6	PS3	1997	DE	False
GT-CAR-00042	Gran Turismo 2	PS1	2023	DE	False
GT-CAR-00042	Gran Turismo 4	PS2	2024	DE	False
GT-CAR-00043	Gran Turismo 5	PS2	2024	DE	False
GT-CAR-00044	Gran Turismo 2	PS1	2010	US	False
GT-CAR-00044	Gran Turismo 4	PS2	2010	US	False
GT-CAR-00044	Gran Turismo 6	PS3	2011	US	False
GT-CAR-00045	Gran Turismo 2	PS1	2012	IT	True
GT-CAR-00045	Gran Turismo 3	PS2	2011	IT	False
GT-CAR-00046	Gran Turismo 2	PS1	2000	US	False
GT-CAR-00046	Gran Turismo 3	PS2	2001	US	False
GT-CAR-00047	Gran Turismo 6	PS3	2009	JP	False
GT-CAR-00048	Gran Turismo 5	PS2	2020	US	False
GT-CAR-00049	Gran Turismo 4	PS2	2021	IT	True
GT-CAR-00049	Gran Turismo 6	PS3	2024	IT	True
GT-CAR-00049	Gran Turismo 7	PS4/PS5	2023	IT	False
GT-CAR-00050	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00050	Gran Turismo 3	PS2	1997	IT	False
GT-CAR-00050	Gran Turismo 4	PS2	1997	IT	False
GT-CAR-00050	Gran Turismo 5	PS2	1997	IT	False
GT-CAR-00051	Gran Turismo 2	PS1	1997	JP	False
GT-CAR-00052	Gran Turismo 1	PS1	2020	UK	False
GT-CAR-00052	Gran Turismo 2	PS1	2021	UK	False
GT-CAR-00052	Gran Turismo 5	PS2	2020	UK	False
GT-CAR-00053	Gran Turismo 1	PS1	1997	JP	True
GT-CAR-00053	Gran Turismo 2	PS1	1997	JP	True
GT-CAR-00053	Gran Turismo 4	PS2	1997	JP	False
GT-CAR-00053	Gran Turismo 6	PS3	1997	JP	False
GT-CAR-00054	Gran Turismo 1	PS1	2016	DE	False
GT-CAR-00054	Gran Turismo 4	PS2	2017	DE	False
GT-CAR-00054	Gran Turismo 6	PS3	2017	DE	False
GT-CAR-00054	Gran Turismo 7	PS4/PS5	2017	DE	False
GT-CAR-00055	Gran Turismo 1	PS1	1997	JP	False
GT-CAR-00056	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00056	Gran Turismo 4	PS2	1997	IT	False
GT-CAR-00057	Gran Turismo 3	PS2	2004	FR	False
GT-CAR-00057	Gran Turismo 6	PS3	2006	FR	False
GT-CAR-00057	Gran Turismo 7	PS4/PS5	2008	FR	False
GT-CAR-00058	Gran Turismo 3	PS2	2016	DE	False
GT-CAR-00058	Gran Turismo 5	PS2	2013	DE	False
GT-CAR-00058	Gran Turismo 6	PS3	2017	DE	False
GT-CAR-00059	Gran Turismo 2	PS1	1997	DE	False
GT-CAR-00059	Gran Turismo 6	PS3	1997	DE	False
GT-CAR-00059	Gran Turismo 7	PS4/PS5	1997	DE	True
GT-CAR-00060	Gran Turismo 1	PS1	2019	IT	False
GT-CAR-00060	Gran Turismo 5	PS2	2021	IT	True
GT-CAR-00061	Gran Turismo 2	PS1	2019	US	False
GT-CAR-00061	Gran Turismo 3	PS2	2022	US	False
GT-CAR-00061	Gran Turismo 7	PS4/PS5	2018	US	False
GT-CAR-00062	Gran Turismo 2	PS1	2011	IT	False
GT-CAR-00062	Gran Turismo 6	PS3	2008	IT	False
GT-CAR-00063	Gran Turismo 4	PS2	2001	UK	False
GT-CAR-00063	Gran Turismo 5	PS2	1998	UK	True
GT-CAR-00063	Gran Turismo 6	PS3	1998	UK	False
GT-CAR-00063	Gran Turismo 7	PS4/PS5	1997	UK	True
GT-CAR-00064	Gran Turismo 7	PS4/PS5	2009	US	False
GT-CAR-00065	Gran Turismo 7	PS4/PS5	2013	DE	False
GT-CAR-00066	Gran Turismo 4	PS2	2008	US	False
GT-CAR-00066	Gran Turismo 6	PS3	2011	US	False
GT-CAR-00066	Gran Turismo 7	PS4/PS5	2007	US	False
GT-CAR-00067	Gran Turismo 6	PS3	2006	JP	False
GT-CAR-00068	Gran Turismo 1	PS1	1997	US	False
GT-CAR-00068	Gran Turismo 4	PS2	1997	US	False
GT-CAR-00068	Gran Turismo 7	PS4/PS5	1997	US	False
GT-CAR-00069	Gran Turismo 1	PS1	2001	IT	False
GT-CAR-00069	Gran Turismo 4	PS2	2002	IT	False
GT-CAR-00070	Gran Turismo 1	PS1	1997	US	False
GT-CAR-00070	Gran Turismo 5	PS2	1998	US	False
GT-CAR-00070	Gran Turismo 6	PS3	2000	US	False
GT-CAR-00071	Gran Turismo 1	PS1	1997	FR	False
GT-CAR-00071	Gran Turismo 2	PS1	1997	FR	False
GT-CAR-00071	Gran Turismo 3	PS2	1997	FR	False
GT-CAR-00071	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00072	Gran Turismo 2	PS1	1997	JP	False
GT-CAR-00072	Gran Turismo 5	PS2	1997	JP	False
GT-CAR-00073	Gran Turismo 7	PS4/PS5	2016	UK	False
GT-CAR-00074	Gran Turismo 2	PS1	1997	UK	False
GT-CAR-00074	Gran Turismo 3	PS2	1999	UK	False
GT-CAR-00074	Gran Turismo 4	PS2	2000	UK	True
GT-CAR-00074	Gran Turismo 6	PS3	1998	UK	False
GT-CAR-00075	Gran Turismo 2	PS1	2011	JP	False
GT-CAR-00075	Gran Turismo 5	PS2	2013	JP	False
GT-CAR-00075	Gran Turismo 6	PS3	2012	JP	True
GT-CAR-00076	Gran Turismo 5	PS2	2009	IT	False
GT-CAR-00076	Gran Turismo 6	PS3	2010	IT	False
GT-CAR-00076	Gran Turismo 7	PS4/PS5	2008	IT	False
GT-CAR-00077	Gran Turismo 7	PS4/PS5	1997	JP	True
GT-CAR-00078	Gran Turismo 1	PS1	2012	JP	True
GT-CAR-00078	Gran Turismo 5	PS2	2008	JP	False
GT-CAR-00078	Gran Turismo 7	PS4/PS5	2010	JP	False
GT-CAR-00079	Gran Turismo 1	PS1	2000	IT	True
GT-CAR-00079	Gran Turismo 4	PS2	2000	IT	False
GT-CAR-00079	Gran Turismo 6	PS3	2003	IT	False
GT-CAR-00080	Gran Turismo 1	PS1	2004	IT	False
GT-CAR-00080	Gran Turismo 2	PS1	2004	IT	False
GT-CAR-00080	Gran Turismo 3	PS2	2001	IT	False
GT-CAR-00080	Gran Turismo 7	PS4/PS5	2002	IT	False
GT-CAR-00081	Gran Turismo 1	PS1	1997	DE	False
GT-CAR-00081	Gran Turismo 2	PS1	1997	DE	False
GT-CAR-00081	Gran Turismo 6	PS3	1997	DE	False
GT-CAR-00081	Gran Turismo 7	PS4/PS5	1997	DE	True
GT-CAR-00082	Gran Turismo 2	PS1	2000	FR	False
GT-CAR-00082	Gran Turismo 3	PS2	2000	FR	False
GT-CAR-00082	Gran Turismo 4	PS2	2000	FR	False
GT-CAR-00082	Gran Turismo 5	PS2	2000	FR	True
GT-CAR-00083	Gran Turismo 1	PS1	2009	IT	False
GT-CAR-00083	Gran Turismo 4	PS2	2010	IT	False
GT-CAR-00083	Gran Turismo 6	PS3	2008	IT	True
GT-CAR-00084	Gran Turismo 4	PS2	2007	DE	False
GT-CAR-00084	Gran Turismo 5	PS2	2007	DE	False
GT-CAR-00084	Gran Turismo 7	PS4/PS5	2005	DE	True
GT-CAR-00085	Gran Turismo 3	PS2	2020	IT	False
GT-CAR-00085	Gran Turismo 6	PS3	2020	IT	True
GT-CAR-00086	Gran Turismo 3	PS2	2016	US	False
GT-CAR-00086	Gran Turismo 4	PS2	2015	US	False
GT-CAR-00087	Gran Turismo 2	PS1	2009	UK	False
GT-CAR-00087	Gran Turismo 6	PS3	2009	UK	False
GT-CAR-00088	Gran Turismo 1	PS1	1997	FR	False
GT-CAR-00088	Gran Turismo 2	PS1	1997	FR	False
GT-CAR-00088	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00088	Gran Turismo 6	PS3	1997	FR	False
GT-CAR-00089	Gran Turismo 5	PS2	1997	DE	False
GT-CAR-00090	Gran Turismo 4	PS2	1997	JP	False
GT-CAR-00090	Gran Turismo 5	PS2	1997	JP	False
GT-CAR-00091	Gran Turismo 4	PS2	2010	FR	False
GT-CAR-00091	Gran Turismo 6	PS3	2012	FR	False
GT-CAR-00091	Gran Turismo 7	PS4/PS5	2009	FR	True
GT-CAR-00092	Gran Turismo 4	PS2	2005	FR	False
GT-CAR-00093	Gran Turismo 6	PS3	1998	UK	False
GT-CAR-00094	Gran Turismo 2	PS1	1997	FR	True
GT-CAR-00095	Gran Turismo 1	PS1	1999	UK	False
GT-CAR-00095	Gran Turismo 2	PS1	1999	UK	False
GT-CAR-00096	Gran Turismo 5	PS2	2003	IT	False
GT-CAR-00096	Gran Turismo 7	PS4/PS5	2001	IT	False
GT-CAR-00097	Gran Turismo 3	PS2	2014	FR	False
GT-CAR-00097	Gran Turismo 6	PS3	2014	FR	False
GT-CAR-00098	Gran Turismo 2	PS1	1997	JP	False
GT-CAR-00098	Gran Turismo 3	PS2	1997	JP	True
GT-CAR-00099	Gran Turismo 1	PS1	2025	DE	False
GT-CAR-00099	Gran Turismo 3	PS2	2022	DE	False
GT-CAR-00100	Gran Turismo 2	PS1	2016	IT	False
GT-CAR-00101	Gran Turismo 1	PS1	1998	JP	False
GT-CAR-00101	Gran Turismo 4	PS2	2000	JP	False
GT-CAR-00101	Gran Turismo 6	PS3	2002	JP	False
GT-CAR-00102	Gran Turismo 1	PS1	2017	JP	False
GT-CAR-00103	Gran Turismo 4	PS2	2014	DE	False
GT-CAR-00103	Gran Turismo 5	PS2	2012	DE	True
GT-CAR-00103	Gran Turismo 7	PS4/PS5	2014	DE	False
GT-CAR-00104	Gran Turismo 3	PS2	2023	US	False
GT-CAR-00104	Gran Turismo 4	PS2	2021	US	False
GT-CAR-00105	Gran Turismo 1	PS1	2003	DE	False
GT-CAR-00105	Gran Turismo 2	PS1	2003	DE	False
GT-CAR-00106	Gran Turismo 6	PS3	1997	IT	False
GT-CAR-00107	Gran Turismo 1	PS1	2000	DE	False
GT-CAR-00107	Gran Turismo 4	PS2	1999	DE	False
GT-CAR-00107	Gran Turismo 6	PS3	1999	DE	True
GT-CAR-00107	Gran Turismo 7	PS4/PS5	2001	DE	False
GT-CAR-00108	Gran Turismo 1	PS1	2018	US	False
GT-CAR-00108	Gran Turismo 5	PS2	2018	US	True
GT-CAR-00108	Gran Turismo 6	PS3	2018	US	False
GT-CAR-00108	Gran Turismo 7	PS4/PS5	2016	US	False
GT-CAR-00109	Gran Turismo 1	PS1	2006	IT	False
GT-CAR-00109	Gran Turismo 5	PS2	2006	IT	False
GT-CAR-00109	Gran Turismo 6	PS3	2008	IT	False
GT-CAR-00109	Gran Turismo 7	PS4/PS5	2007	IT	False
GT-CAR-00110	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00111	Gran Turismo 2	PS1	1997	JP	False
GT-CAR-00111	Gran Turismo 3	PS2	1997	JP	False
GT-CAR-00111	Gran Turismo 4	PS2	1999	JP	False
GT-CAR-00111	Gran Turismo 6	PS3	1997	JP	False
GT-CAR-00112	Gran Turismo 1	PS1	2014	DE	False
GT-CAR-00112	Gran Turismo 3	PS2	2010	DE	False
GT-CAR-00112	Gran Turismo 7	PS4/PS5	2013	DE	False
GT-CAR-00113	Gran Turismo 1	PS1	2020	US	False
GT-CAR-00114	Gran Turismo 2	PS1	1999	IT	False
GT-CAR-00114	Gran Turismo 3	PS2	1998	IT	False
GT-CAR-00114	Gran Turismo 7	PS4/PS5	2000	IT	False
GT-CAR-00115	Gran Turismo 1	PS1	1997	JP	False
GT-CAR-00115	Gran Turismo 3	PS2	1997	JP	False
GT-CAR-00115	Gran Turismo 7	PS4/PS5	1997	JP	False
GT-CAR-00116	Gran Turismo 1	PS1	2003	JP	False
GT-CAR-00116	Gran Turismo 5	PS2	2003	JP	False
GT-CAR-00116	Gran Turismo 7	PS4/PS5	2002	JP	False
GT-CAR-00117	Gran Turismo 2	PS1	2005	DE	False
GT-CAR-00117	Gran Turismo 4	PS2	2002	DE	False
GT-CAR-00118	Gran Turismo 4	PS2	2010	IT	False
GT-CAR-00118	Gran Turismo 6	PS3	2009	IT	True
GT-CAR-00118	Gran Turismo 7	PS4/PS5	2010	IT	True
GT-CAR-00119	Gran Turismo 1	PS1	1998	US	False
GT-CAR-00119	Gran Turismo 2	PS1	2000	US	False
GT-CAR-00119	Gran Turismo 3	PS2	2001	US	False
GT-CAR-00119	Gran Turismo 4	PS2	1999	US	False
GT-CAR-00120	Gran Turismo 6	PS3	2016	JP	False
GT-CAR-00121	Gran Turismo 1	PS1	1997	US	False
GT-CAR-00121	Gran Turismo 2	PS1	1997	US	False
GT-CAR-00122	Gran Turismo 2	PS1	2022	JP	False
GT-CAR-00122	Gran Turismo 3	PS2	2022	JP	False
GT-CAR-00122	Gran Turismo 5	PS2	2022	JP	False
GT-CAR-00123	Gran Turismo 6	PS3	2006	UK	False
GT-CAR-00124	Gran Turismo 3	PS2	1997	JP	True
GT-CAR-00124	Gran Turismo 6	PS3	1997	JP	False
GT-CAR-00125	Gran Turismo 1	PS1	2023	IT	False
GT-CAR-00125	Gran Turismo 2	PS1	2024	IT	False
GT-CAR-00125	Gran Turismo 3	PS2	2024	IT	False
GT-CAR-00125	Gran Turismo 5	PS2	2020	IT	False
GT-CAR-00126	Gran Turismo 1	PS1	1997	JP	False
GT-CAR-00126	Gran Turismo 6	PS3	1997	JP	False
GT-CAR-00127	Gran Turismo 3	PS2	2023	DE	False
GT-CAR-00127	Gran Turismo 6	PS3	2023	DE	False
GT-CAR-00128	Gran Turismo 3	PS2	1997	US	False
GT-CAR-00129	Gran Turismo 1	PS1	2024	US	False
GT-CAR-00130	Gran Turismo 2	PS1	2024	IT	False
GT-CAR-00130	Gran Turismo 4	PS2	2022	IT	False
GT-CAR-00130	Gran Turismo 6	PS3	2024	IT	False
GT-CAR-00130	Gran Turismo 7	PS4/PS5	2022	IT	False
GT-CAR-00131	Gran Turismo 1	PS1	1997	US	True
GT-CAR-00131	Gran Turismo 4	PS2	1997	US	False
GT-CAR-00132	Gran Turismo 3	PS2	2023	IT	False
GT-CAR-00132	Gran Turismo 6	PS3	2022	IT	True
GT-CAR-00132	Gran Turismo 7	PS4/PS5	2024	IT	False
GT-CAR-00133	Gran Turismo 1	PS1	2013	FR	False
GT-CAR-00133	Gran Turismo 4	PS2	2014	FR	False
GT-CAR-00133	Gran Turismo 5	PS2	2012	FR	True
GT-CAR-00134	Gran Turismo 3	PS2	1997	US	False
GT-CAR-00134	Gran Turismo 4	PS2	1997	US	True
GT-CAR-00134	Gran Turismo 6	PS3	1997	US	False
GT-CAR-00135	Gran Turismo 3	PS2	2019	DE	False
GT-CAR-00135	Gran Turismo 7	PS4/PS5	2021	DE	True
GT-CAR-00136	Gran Turismo 2	PS1	2007	JP	False
GT-CAR-00137	Gran Turismo 3	PS2	1997	FR	False
GT-CAR-00137	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00137	Gran Turismo 6	PS3	1997	FR	False
GT-CAR-00137	Gran Turismo 7	PS4/PS5	1997	FR	False
GT-CAR-00138	Gran Turismo 2	PS1	2025	JP	False
GT-CAR-00138	Gran Turismo 3	PS2	2025	JP	False
GT-CAR-00138	Gran Turismo 4	PS2	2025	JP	False
GT-CAR-00138	Gran Turismo 6	PS3	2025	JP	False
GT-CAR-00139	Gran Turismo 1	PS1	2005	JP	True
GT-CAR-00139	Gran Turismo 3	PS2	2005	JP	False
GT-CAR-00139	Gran Turismo 4	PS2	2008	JP	False
GT-CAR-00139	Gran Turismo 7	PS4/PS5	2005	JP	True
GT-CAR-00140	Gran Turismo 4	PS2	1997	JP	False
GT-CAR-00140	Gran Turismo 6	PS3	1997	JP	False
GT-CAR-00140	Gran Turismo 7	PS4/PS5	1997	JP	False
GT-CAR-00141	Gran Turismo 1	PS1	2005	JP	False
GT-CAR-00141	Gran Turismo 3	PS2	2005	JP	False
GT-CAR-00142	Gran Turismo 2	PS1	2007	JP	False
GT-CAR-00142	Gran Turismo 4	PS2	2007	JP	False
GT-CAR-00142	Gran Turismo 7	PS4/PS5	2009	JP	False
GT-CAR-00143	Gran Turismo 2	PS1	2009	JP	False
GT-CAR-00143	Gran Turismo 3	PS2	2006	JP	False
GT-CAR-00143	Gran Turismo 4	PS2	2007	JP	True
GT-CAR-00143	Gran Turismo 6	PS3	2006	JP	False
GT-CAR-00144	Gran Turismo 1	PS1	2019	FR	False
GT-CAR-00144	Gran Turismo 3	PS2	2019	FR	False
GT-CAR-00144	Gran Turismo 5	PS2	2019	FR	False
GT-CAR-00145	Gran Turismo 2	PS1	2004	JP	False
GT-CAR-00145	Gran Turismo 3	PS2	2006	JP	False
GT-CAR-00145	Gran Turismo 4	PS2	2005	JP	False
GT-CAR-00146	Gran Turismo 2	PS1	1997	FR	False
GT-CAR-00146	Gran Turismo 3	PS2	1997	FR	True
GT-CAR-00146	Gran Turismo 4	PS2	1997	FR	False
GT-CAR-00146	Gran Turismo 7	PS4/PS5	1997	FR	True
GT-CAR-00147	Gran Turismo 1	PS1	1997	IT	True
GT-CAR-00147	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00147	Gran Turismo 3	PS2	1997	IT	False
GT-CAR-00147	Gran Turismo 7	PS4/PS5	1997	IT	False
GT-CAR-00148	Gran Turismo 2	PS1	2004	US	False
GT-CAR-00148	Gran Turismo 3	PS2	2004	US	False
GT-CAR-00148	Gran Turismo 4	PS2	2005	US	False
GT-CAR-00149	Gran Turismo 1	PS1	2016	JP	False
GT-CAR-00149	Gran Turismo 2	PS1	2016	JP	False
GT-CAR-00149	Gran Turismo 4	PS2	2018	JP	True
GT-CAR-00149	Gran Turismo 7	PS4/PS5	2015	JP	True
GT-CAR-00150	Gran Turismo 2	PS1	2008	DE	True
GT-CAR-00150	Gran Turismo 4	PS2	2006	DE	False
GT-CAR-00151	Gran Turismo 2	PS1	2004	UK	False
GT-CAR-00151	Gran Turismo 3	PS2	2007	UK	False
GT-CAR-00151	Gran Turismo 4	PS2	2008	UK	False
GT-CAR-00151	Gran Turismo 7	PS4/PS5	2007	UK	True
GT-CAR-00152	Gran Turismo 2	PS1	1997	US	False
GT-CAR-00152	Gran Turismo 4	PS2	1997	US	False
GT-CAR-00152	Gran Turismo 5	PS2	1997	US	False
GT-CAR-00153	Gran Turismo 1	PS1	1997	IT	False
GT-CAR-00153	Gran Turismo 4	PS2	1997	IT	False
GT-CAR-00153	Gran Turismo 6	PS3	1997	IT	True
GT-CAR-00153	Gran Turismo 7	PS4/PS5	1997	IT	False
GT-CAR-00154	Gran Turismo 1	PS1	1997	IT	False
GT-CAR-00154	Gran Turismo 2	PS1	1997	IT	False
GT-CAR-00154	Gran Turismo 6	PS3	1997	IT	False
GT-CAR-00155	Gran Turismo 3	PS2	2015	DE	False
GT-CAR-00155	Gran Turismo 6	PS3	2016	DE	False
GT-CAR-00156	Gran Turismo 5	PS2	2017	JP	False
GT-CAR-00156	Gran Turismo 6	PS3	2019	JP	False
GT-CAR-00157	Gran Turismo 1	PS1	2014	FR	False
GT-CAR-00157	Gran Turismo 2	PS1	2012	FR	False
GT-CAR-00157	Gran Turismo 5	PS2	2014	FR	True
GT-CAR-00158	Gran Turismo 5	PS2	2009	DE	False
GT-CAR-00158	Gran Turismo 6	PS3	2011	DE	False
GT-CAR-00159	Gran Turismo 5	PS2	2021	JP	False
GT-CAR-00159	Gran Turismo 7	PS4/PS5	2024	JP	True
GT-CAR-00160	Gran Turismo 2	PS1	1997	UK	True
GT-CAR-00160	Gran Turismo 4	PS2	2000	UK	False
GT-CAR-00160	Gran Turismo 5	PS2	1997	UK	False
GT-CAR-00160	Gran Turismo 6	PS3	1997	UK	True
GT-CAR-00161	Gran Turismo 2	PS1	2012	IT	False
GT-CAR-00161	Gran Turismo 4	PS2	2012	IT	True
GT-CAR-00161	Gran Turismo 5	PS2	2011	IT	False
GT-CAR-00161	Gran Turismo 7	PS4/PS5	2009	IT	False
GT-CAR-00162	Gran Turismo 2	PS1	1997	US	True
GT-CAR-00162	Gran Turismo 3	PS2	1997	US	True
GT-CAR-00162	Gran Turismo 6	PS3	1997	US	False
GT-CAR-00162	Gran Turismo 7	PS4/PS5	1997	US	False
GT-CAR-00163	Gran Turismo 6	PS3	2013	JP	False
GT-CAR-00164	Gran Turismo 4	PS2	2009	US	False
GT-CAR-00164	Gran Turismo 6	PS3	2013	US	False
GT-CAR-00164	Gran Turismo 7	PS4/PS5	2009	US	False
GT-CAR-00165	Gran Turismo 7	PS4/PS5	2009	DE	False
GT-CAR-00166	Gran Turismo 5	PS2	2024	JP	True
GT-CAR-00167	Gran Turismo 3	PS2	2005	JP	False
GT-CAR-00167	Gran Turismo 5	PS2	2005	JP	True
GT-CAR-00167	Gran Turismo 6	PS3	2007	JP	False
GT-CAR-00168	Gran Turismo 4	PS2	1997	DE	False
GT-CAR-00169	Gran Turismo 3	PS2	1999	DE	False
GT-CAR-00169	Gran Turismo 4	PS2	2000	DE	False
GT-CAR-00169	Gran Turismo 7	PS4/PS5	1998	DE	True
GT-CAR-00170	Gran Turismo 3	PS2	1997	IT	True
GT-CAR-00171	Gran Turismo 1	PS1	2008	JP	False
GT-CAR-00172	Gran Turismo 1	PS1	2001	IT	False
GT-CAR-00172	Gran Turismo 3	PS2	2003	IT	False
GT-CAR-00173	Gran Turismo 3	PS2	1997	DE	False
GT-CAR-00173	Gran Turismo 7	PS4/PS5	1997	DE	False
GT-CAR-00174	Gran Turismo 4	PS2	2023	IT	True
GT-CAR-00174	Gran Turismo 7	PS4/PS5	2024	IT	False
